Time,Frame,Mode,Count,Reason
12:42:06,121,YOLO,18,Sparse crowd
12:42:06,122,YOLO,17,Sparse crowd
12:42:06,123,YOLO,17,Sparse crowd
12:42:06,124,YOLO,14,Sparse crowd
12:42:06,125,YOLO,17,Sparse crowd
12:42:06,126,YOLO,16,Sparse crowd
12:42:07,127,YOLO,17,Sparse crowd
12:42:07,128,YOLO,16,Sparse crowd
12:42:07,129,YOLO,15,Sparse crowd
12:42:07,130,YOLO,17,Sparse crowd
12:42:07,131,YOLO,17,Sparse crowd
12:42:07,132,YOLO,16,Sparse crowd
12:42:07,133,YOLO,16,Sparse crowd
12:42:07,134,YOLO,14,Sparse crowd
12:42:07,135,YOLO,20,Sparse crowd
12:42:07,136,YOLO,23,Sparse crowd
12:42:07,137,YOLO,23,Sparse crowd
12:42:07,138,YOLO,22,Sparse crowd
12:42:07,139,YOLO,22,Sparse crowd
12:42:07,140,YOLO,19,Sparse crowd
12:42:07,141,YOLO,21,Sparse crowd
12:42:07,142,YOLO,24,Sparse crowd
12:42:07,143,YOLO,23,Sparse crowd
12:42:07,144,YOLO,23,Sparse crowd
12:42:07,145,YOLO,27,Sparse crowd
12:42:07,146,YOLO,22,Sparse crowd
12:42:07,147,YOLO,17,Sparse crowd
12:42:07,148,YOLO,21,Sparse crowd
12:42:07,149,YOLO,22,Sparse crowd
12:42:07,150,YOLO,21,Sparse crowd
12:42:07,151,YOLO,27,Sparse crowd
12:42:07,152,YOLO,23,Sparse crowd
12:42:07,153,YOLO,22,Sparse crowd
12:42:07,154,YOLO,21,Sparse crowd
12:42:07,155,YOLO,19,Sparse crowd
12:42:07,156,YOLO,18,Sparse crowd
12:42:07,157,YOLO,15,Sparse crowd
12:42:07,158,YOLO,13,Sparse crowd
12:42:07,159,YOLO,10,Sparse crowd
12:42:07,160,YOLO,14,Sparse crowd
12:42:07,161,YOLO,13,Sparse crowd
12:42:07,162,YOLO,18,Sparse crowd
12:42:07,163,YOLO,22,Sparse crowd
12:42:07,164,YOLO,19,Sparse crowd
12:42:07,165,YOLO,24,Sparse crowd
12:42:07,166,YOLO,23,Sparse crowd
12:42:07,167,YOLO,29,Sparse crowd
12:42:07,168,YOLO,28,Sparse crowd
12:42:07,169,YOLO,27,Sparse crowd
12:42:07,170,YOLO,25,Sparse crowd
12:42:07,171,YOLO,25,Sparse crowd
12:42:07,172,YOLO,22,Sparse crowd
12:42:07,173,YOLO,22,Sparse crowd
12:42:08,174,YOLO,25,Sparse crowd
12:42:08,175,YOLO,26,Sparse crowd
12:42:08,176,YOLO,26,Sparse crowd
12:42:08,177,YOLO,22,Sparse crowd
12:42:08,178,YOLO,23,Sparse crowd
12:42:08,179,YOLO,21,Sparse crowd
12:42:08,180,YOLO,20,Sparse crowd
12:42:08,181,YOLO,18,Sparse crowd
12:42:08,182,YOLO,26,Sparse crowd
12:42:08,183,YOLO,25,Sparse crowd
12:42:08,184,YOLO,21,Sparse crowd
12:42:08,185,YOLO,27,Sparse crowd
12:42:08,186,YOLO,24,Sparse crowd
12:42:08,187,YOLO,25,Sparse crowd
12:42:08,188,YOLO,24,Sparse crowd
12:42:08,189,YOLO,24,Sparse crowd
12:42:08,190,YOLO,25,Sparse crowd
12:42:08,191,YOLO,26,Sparse crowd
12:42:08,192,YOLO,27,Sparse crowd
12:42:08,193,YOLO,24,Sparse crowd
12:42:08,194,YOLO,22,Sparse crowd
12:42:08,195,YOLO,21,Sparse crowd
12:42:08,196,YOLO,20,Sparse crowd
12:42:08,197,YOLO,22,Sparse crowd
12:42:08,198,YOLO,21,Sparse crowd
12:42:08,199,YOLO,23,Sparse crowd
12:42:08,200,YOLO,21,Sparse crowd
12:42:08,201,YOLO,20,Sparse crowd
12:42:08,202,YOLO,20,Sparse crowd
12:42:08,203,YOLO,19,Sparse crowd
12:42:08,204,YOLO,24,Sparse crowd
12:42:08,205,YOLO,22,Sparse crowd
12:42:08,206,YOLO,21,Sparse crowd
12:42:08,207,YOLO,21,Sparse crowd
12:42:08,208,YOLO,20,Sparse crowd
12:42:08,209,YOLO,22,Sparse crowd
12:42:08,210,YOLO,21,Sparse crowd
12:42:08,211,YOLO,19,Sparse crowd
12:42:08,212,YOLO,21,Sparse crowd
12:42:08,213,YOLO,17,Sparse crowd
12:42:08,214,YOLO,13,Sparse crowd
12:42:08,215,YOLO,17,Sparse crowd
12:42:08,216,YOLO,15,Sparse crowd
12:42:08,217,YOLO,16,Sparse crowd
12:42:08,218,YOLO,12,Sparse crowd
12:42:08,219,YOLO,10,Sparse crowd
12:42:09,220,YOLO,12,Sparse crowd
12:42:09,221,YOLO,12,Sparse crowd
12:42:09,222,YOLO,14,Sparse crowd
12:42:09,223,YOLO,12,Sparse crowd
12:42:09,224,YOLO,12,Sparse crowd
12:42:09,225,YOLO,9,Sparse crowd
12:42:09,226,YOLO,7,Sparse crowd
12:42:09,227,YOLO,10,Sparse crowd
12:42:09,228,YOLO,8,Sparse crowd
12:42:09,229,YOLO,11,Sparse crowd
12:42:09,230,YOLO,10,Sparse crowd
12:42:09,231,YOLO,5,Sparse crowd
12:42:09,232,YOLO,5,Sparse crowd
12:42:09,233,YOLO,5,Sparse crowd
12:42:09,234,YOLO,9,Sparse crowd
12:42:09,235,YOLO,9,Sparse crowd
12:42:09,236,YOLO,10,Sparse crowd
12:42:09,237,YOLO,11,Sparse crowd
12:42:09,238,YOLO,11,Sparse crowd
12:42:09,239,YOLO,12,Sparse crowd
